===== DPKG PACKAGE INVENTORY =====
7zip	23.01+dfsg-11
accountsservice	23.13.9-2ubuntu6.1
acl	2.3.2-1build1.1
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.14
alsa-utils	1.2.9-1ubuntu5
amd64-microcode	3.20251202.1ubuntu0.24.04.1
anacron	2.3-39ubuntu2
apg	2.2.3.dfsg.1-5build3
app-install-data	15.10build1
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7
appstream	1.0.2-1build6
apt	2.8.3
apt-transport-https	2.8.3
apt-utils	2.8.3
aptdaemon	1.1.1+bzr982-0ubuntu44
aptdaemon-data	1.1.1+bzr982-0ubuntu44
aptitude	0.8.13-5ubuntu5
aptitude-common	0.8.13-5ubuntu5
aptkit	1.1.2
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
attr	1:2.5.2-1ubuntu0.1
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autopoint	0.21-14ubuntu2
autotools-dev	20220109.1
avahi-autoipd	0.8-13ubuntu6.2
avahi-daemon	0.8-13ubuntu6.2
avahi-utils	0.8-13ubuntu6.2
baobab	46.0-1build1
base-files	13ubuntu10mint22.3.0
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.7
bind9-host	1:9.18.39-0ubuntu0.24.04.7
bind9-libs:amd64	1:9.18.39-0ubuntu0.24.04.7
binutils	2.42-4ubuntu2.10
binutils-common:amd64	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
blueman	2.4.4+mint2+xia
bluetooth	5.72-0ubuntu5.5
bluez	5.72-0ubuntu5.5
bluez-cups	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
brasero-common	3.12.3-2build4
brave-browser	1.94.121
brave-keyring	1.20
brltty	6.6-4ubuntu5
bsdextrautils	2.39.3-9ubuntu6.6
bsdutils	1:2.39.3-9ubuntu6.6
btrfs-progs	6.6.3-1.1build2
bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1
bulky	4.2
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
bzip2	1.0.8-5.1ubuntu0.1
ca-certificates	20260601~24.04.1
ca-certificates-java	20240118
cabextract	1.11-2
captain	1.1.2
casper	1.498
catdoc	1:0.95-5build1
celluloid	0.21+mint2+wilma
cifs-utils	2:7.0-2ubuntu0.5
cinnamon	6.6.9+zena
cinnamon-common	6.6.9+zena
cinnamon-control-center	6.6.0+zena
cinnamon-control-center-data	6.6.0+zena
cinnamon-control-center-dbg	6.6.0+zena
cinnamon-dbg	6.6.9+zena
cinnamon-desktop-data	6.6.2+zena
cinnamon-l10n	6.6.2
cinnamon-screensaver	6.6.1+zena
cinnamon-session	6.6.3+zena
cinnamon-session-common	6.6.3+zena
cinnamon-settings-daemon	6.6.4+zena
circle-flags-svg	2.7.0+mint1
cjs	115.1+zena
colord	1.4.7-1build2
colord-data	1.4.7-1build2
command-not-found	23.04.0
console-setup	1.226ubuntu1.1
console-setup-linux	1.226ubuntu1.1
containerd.io	2.3.4-2~ubuntu.24.04~noble
coreutils	9.4-3ubuntu6.3
cpdb-backend-cups	2.0~b5-0ubuntu6
cpio	2.15+dfsg-1ubuntu2.1
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cpu-checker	0.7-1.3build2
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
cups	2.4.7-1.2ubuntu7.14
cups-browsed	2.0.0-0ubuntu10.3
cups-bsd	2.4.7-1.2ubuntu7.14
cups-client	2.4.7-1.2ubuntu7.14
cups-common	2.4.7-1.2ubuntu7.14
cups-core-drivers	2.4.7-1.2ubuntu7.14
cups-daemon	2.4.7-1.2ubuntu7.14
cups-filters	2.0.0-0ubuntu4.1
cups-filters-core-drivers	2.0.0-0ubuntu4.1
cups-ipp-utils	2.4.7-1.2ubuntu7.14
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.14
cups-server-common	2.4.7-1.2ubuntu7.14
curl	8.5.0-2ubuntu10.13
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dc	1.07.1-3ubuntu4
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend:amd64	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
dcraw	9.28-5ubuntu1
dctrl-tools	2.24-3build3
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debhelper	13.14.1ubuntu5
debianutils	5.17build1
debugedit	1:5.0-5build2
default-jre	2:1.21-75+exp1
default-jre-headless	2:1.21-75+exp1
desktop-base	12.0.6+nmu1ubuntu1
desktop-file-utils	0.27-2build1
dh-autoreconf	20
dh-strip-nondeterminism	1.13.1-1
dhcpcd-base	1:10.0.6-1ubuntu3.2
dialog	1.3-20240101-1
dictionaries-common	1.29.7
diffutils	1:3.10-1ubuntu0.1
dirmngr	2.4.4-2ubuntu17.6
discord	1.0.141
distro-info	1.7build1
distro-info-data	0.72-0ubuntu0.24.04.1
dkms	3.0.11-1ubuntu13
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmraid	1.0.0.rc16-12ubuntu2
dmsetup	2:1.02.185-3ubuntu3.2
dmz-cursor-theme	0.4.5ubuntu1
